comp  name  center_x  center_y  center_z  rin(z-in)  rin(z-out)  dout  length  angle  B  gradient
QF  QC1LPE1121  -452.797623  1.5e-05  1.588615  0.1  0.1  0.6  0.01  -0.0486647362806776  0  12
QF  QC1LE1125  -452.797379772524  1.5e-05  1.59360908053547  0.1  0.1  0.6  0.01  -0.0486647013740925  0  12
QF  QC1LPE1129  -452.797137  9.88e-06  1.598603  0.1  0.1  0.6  0.01  -0.0486559049146625  0  12
QF  QC1LPE1131  -452.797137  9.88e-06  1.598603  0.1  0.1  0.6  0.01  -0.0486558700080774  0  12
QF  QC1LE1135  -452.796893816803  9.88e-06  1.6035970826918  0.1  0.1  0.6  0.01  -0.0486558351014924  0  12
QF  QC1LPE1139  -452.79665  5.31e-06  1.608592  0.1  0.1  0.6  0.01  -0.0486485919850966  0  12
QF  QC1LPE1141  -452.79665  5.31e-06  1.608592  0.1  0.1  0.6  0.01  -0.0486485570785116  0  12
QF  QC1LE1145  -452.796406853237  5.31e-06  1.6135860844658  0.1  0.1  0.6  0.01  -0.0486485396252191  0  12
QF  QC1LPE1149  -452.796164  1.23e-06  1.61858  0.1  0.1  0.6  0.01  -0.0486425007860072  0  12
QF  QC1LPE1151  -452.796164  1.23e-06  1.61858  0.1  0.1  0.6  0.01  -0.0486424833327146  0  12
QF  QC1LE1155  -452.79592088357  1.23e-06  1.62357408594252  0.1  0.1  0.6  0.01  -0.0486424658794221  0  12
QF  QC1LPE1159  -452.795678  -2.43e-06  1.628568  0.1  0.1  0.6  0.01  -0.0486373171581287  0  12
QF  QC1LPE1161  -452.795678  -2.43e-06  1.628568  0.1  0.1  0.6  0.01  -0.0486373171581287  0  12
QF  QC1LE1165  -452.795434909283  -2.43e-06  1.63356208719419  0.1  0.1  0.6  0.01  -0.0486373171581287  0  12
QF  QC1LPE1169  -452.795192  -5.77e-06  1.638556  0.1  0.1  0.6  0.01  -0.0486328840218287  0  12
QF  QC1LPE1171  -452.795192  -5.77e-06  1.638556  0.1  0.1  0.6  0.01  -0.0486328665685362  0  12
QF  QC1LE1175  -452.794948931509  -5.77e-06  1.64355008827604  0.1  0.1  0.6  0.01  -0.0486328665685362  0  12
QF  QC1LPE1179  -452.794706  -8.87e-06  1.648544  0.1  0.1  0.6  0.01  -0.0486292711902771  0  12
QF  QC1LPE1181  -452.794706  -8.87e-06  1.648544  0.1  0.1  0.6  0.01  -0.0486292711902771  0  12
QF  QC1LE1185  -452.794462949465  -8.87e-06  1.65353808914993  0.1  0.1  0.6  0.01  -0.0486292711902771  0  12
QF  QC1LPE1189  -452.79422  -1.18e-05  1.658532  0.1  0.1  0.6  0.01  -0.0486273338748073  0  12
QF  QC1LPE1191  -452.79422  -1.18e-05  1.658532  0.1  0.1  0.6  0.01  -0.0486273338748073  0  12
QF  QC1LE1195  -452.79397695914  -1.18e-05  1.66352608962079  0.1  0.1  0.6  0.01  -0.0486273338748073  0  12
QF  QC1LPE1199  -452.793734  -1.46e-05  1.668521  0.1  0.1  0.6  0.01  -0.0486292537369845  0  12
QF  QC1LPE1201  -452.793734  -1.46e-05  1.668521  0.1  0.1  0.6  0.01  -0.0486292537369845  0  12
QF  QC1LE1205  -452.793490949552  -1.46e-05  1.67351508915417  0.1  0.1  0.6  0.01  -0.0486292537369845  0  12
QF  QC1LPE1209  -452.793247  -1.74e-05  1.678509  0.1  0.1  0.6  0.01  -0.0486386087017752  0  12
